handlers.go	تعريف UIHandler: الكائن اللي بيقدم كل صفحات HTML من قوالب templ، وتسجيل مسارات الإعدادات.
handler_deps.go	حقن الخدمات اللي UIHandler بيحتاجها زي مولد الأدوار المبدئية.
render.go	دالة موحدة لعرض قالب templ كرد HTML، بدل 189 نسخة مكررة.
request_helpers.go	middleware بيحمّل إعدادات الموقع الحية في كل طلب.
site_context.go	كاش إعدادات الموقع وروابط السوشيال الافتراضية.
error_message.go	تحويل خطأ الأعمال لجملة يفهمها المستخدم.
redirect_security.go	التأكد إن التحويل لمسار داخلي آمن وليس لموقع خارجي.
static.go	ملفات ثابتة وrobots.txt ديناميكي.
sitemap_handler.go	خريطة الموقع لمحركات البحث.
visitor.go	تسجيل زائر واحد لكل جلسة في اليوم لتحليلات الإدارة.
agent_middleware.go	ترويسات Link لاكتشاف الموقع من مساعدات الذكاء الاصطناعي.
scrape_guard.go	تركيب حماية الكشط على صفحة الكتالوج.
public_routes.go	تسجيل كل المسارات العامة اللي بتفتح بدون تسجيل دخول.
public_handlers.go	الصفحة الرئيسية وإعلاناتها المعروضة.
public_content_handlers.go	صفحة التواصل ورسائلها في الإدارة.
content_handlers.go	صفحات المحتوى من قاعدة البيانات: من نحن، كيف يعمل.
auth_handlers.go	صفحات الدخول والتسجيل والتحقق بخطوتين.
auth_submit_handlers.go	تنفيذ الدخول والخروج والتبديل بين المنشآت.
auth_landing.go	اختيار أول شاشة المستخدم يقدر يفتحها بعد الدخول.
auth_geography.go	تحميل المدن المصرية لنموذج التسجيل.
mfa_handlers.go	صفحة إعدادات التحقق بخطوتين.
account_handlers.go	تحويل صفحة المحفظة القديمة وإيداع المحفظة.
settings_handlers.go	صفحة الإعدادات الموحدة بالتبويبات.
settings_account_handlers.go	حفظ الملف الشخصي وكلمة المرور والتفضيلات.
settings_payment_handlers.go	حفظ وسائل الدفع من الإعدادات.
settings_employees_redirect.go	تحويل الرابط القديم لصفحة الموظفين لصفحة الفريق.
settings_telegram_handlers.go	كارت ربط تيليجرام في الإعدادات: إنشاء الرابط، التأكيد، الإلغاء، كتم الفئات.
settings_whatsapp_handlers.go	كارت ربط واتساب في الإعدادات بنفس وظائف تيليجرام.
dashboard_handlers.go	لوحة المورد ولوحة الصيدلية الرئيسيتين.
customer_routes.go	تسجيل مسارات لوحة الصيدلية /customer بحسب الصلاحيات.
vendor_routes.go	تسجيل مسارات لوحة المورد /vendor مقسمة بأقسام.
vendor_routes_promo.go	مسارات العروض والإعلانات للمورد.
vendor_catalog_routes.go	مسارات كتالوج ومخزون المورد.
buying_routes.go	سطح الشراء المشترك اللي بتستخدمه الصيدلية والمورد اللي بيشتري.
buying_context.go	تحديد المنشأة اللي المستخدم بيشتري لها.
buying_coverage.go	الموردين اللي بيوصلوا لفرع الشراء النهارده.
buying_offers.go	استعلام عروض المشتري وسبب منعه لو ممنوع.
branch_selector.go	قائمة اختيار فرع الشراء في رأس لوحة الصيدلية.
customer_handlers.go	الكتالوج كما يراه فرع الشراء.
customer_catalog_cards.go	تحويل العروض لكروت متجر.
customer_product_handlers.go	صفحة تفاصيل المنتج للصيدلية.
customer_cart_handlers.go	السلة مقسمة حسب المورد مع رسوم التوصيل لكل مورد.
customer_cart_coverage.go	شارة عدد عناصر السلة وتغطية السلة.
customer_cart_offer_handlers.go	إضافة عرض كامل للسلة.
customer_checkout_handlers.go	صفحة الدفع وتنفيذه.
customer_checkout_core.go	اختيارات المشتري في شاشة الدفع.
customer_checkout_helpers.go	رفض العروض اللي مينفعش تتباع وقت الدفع.
customer_checkout_wallet.go	حساب قيمة البضاعة بعد الخصم للدفع من المحفظة.
customer_offer_availability.go	التأكد إن منتجات العرض ما بتمنعش شراؤه.
customer_order_handlers.go	قائمة طلبات الصيدلية وتفاصيل الطلب.
customer_order_edit_handlers.go	إلغاء أو تعديل الطلب قبل الشحن.
customer_order_negotiate_handlers.go	التفاوض على الطلب.
customer_order_offer_handlers.go	نافذة تفاصيل العرض داخل بند الطلب.
customer_order_pricing_helpers.go	مساعدات تسعير بنود الطلب.
customer_order_review_handlers.go	تقييم المورد بعد الطلب.
customer_offer_order_handlers.go	طلبات العروض الخاصة بالصيدلية.
customer_purchase_request_handlers.go	صفحة بداية طلب الشراء.
customer_branch_handlers.go	تحويل لإضافة فرع في صفحة الفروع الموحدة.
customer_team_handlers.go	شاشة فريق الصيدلية الموحدة.
customer_employee_handlers.go	إضافة وتعديل موظفي الصيدلية.
customer_user_org_handlers.go	بحث الصيدلية عن مورد لربطه.
customer_notifications_handlers.go	صفحة الإشعارات وتعليمها مقروءة.
notifications_handlers.go	قائمة الإشعارات المنسدلة من الجرس.
notifications_dispatch.go	إرسال إشعار داخل التطبيق لمستخدم.
notifications_events_commerce.go	إشعارات أحداث الطلبات للصيدلية وفرق المورد.
notifications_events_org.go	إشعارات أحداث المنشآت للإدارة.
notifications_issues.go	إشعار الإدارة بمشكلة جديدة.
notifications_withdrawals.go	إشعارات الإيداع والسحب.
favorites_handlers.go	المنتجات المفضلة.
messages_handlers.go	صفحة الرسائل بين المشتري والمورد.
offers_handlers.go	صفحة العروض العامة وتفاصيل العرض.
offers_env.go	تحميل مسبق دفعة واحدة لبيانات عرض العروض بدل استعلام لكل كارت.
offers_distance.go	حساب المسافة للعرض فقط.
offers_ranking.go	ترتيب العروض بشرائح مسافة.
offers_storefront.go	العروض المعروضة لمنتج.
ads_enricher.go	إكمال بيانات الإعلانات المعروضة دفعة واحدة.
promo_tracking_handlers.go	تتبع نقرات الإعلانات.
promo_revenue_handlers.go	مركز الباقات والإيرادات في الإدارة.
credit_statement_handlers.go	كشف حساب رصيد باقة.
suppliers_handlers.go	دليل الموردين وحالة العمل والتغطية.
supplier_profile_handlers.go	صفحة المورد العامة ومتابعته.
storefront_handlers.go	إدارة الأقسام المميزة في متجر المورد.
subscription_handlers.go	صفحة الاشتراك والعضوية.
tenant_wallet_handlers.go	صفحة المحفظة.
tenant_payment_methods_handlers.go	وسائل الدفع من صفحة المحفظة.
payment_method_form.go	التحقق من نموذج وسيلة الدفع.
tenant_roles_handlers.go	إدارة أدوار المنشأة.
tenant_sessions_handlers.go	الأجهزة والجلسات النشطة.
team_view.go	تحميل الأعضاء والأدوار والفروع لشاشة الفريق.
team_import_handlers.go	استيراد الفريق من ملف.
team_import_parse.go	قراءة ملف الفريق.
team_import_validate.go	التحقق من صفوف الفريق ومطابقة الدور بالاسم.
team_import_commit_handlers.go	حفظ استيراد الفريق.
organization_profile_handlers.go	صفحة بيانات المنشأة بالأقسام.
documents_handlers.go	صفحة المستندات.
document_serve_file_handlers.go	عرض أو تحميل ملف مستند.
document_serve_helpers.go	توليد شارة مستند رسمي SVG.
requests_handlers.go	صندوق طلبات المستندات والإجراءات.
jobs_handlers.go	لوحة الوظائف.
job_form_handlers.go	نموذج نشر وظيفة.
job_application_handlers.go	التقديم على وظيفة.
coverage_handlers.go	شبكة التغطية الأسبوعية للمورد.
coverage_write_form_handlers.go	إنشاء تغطية لعدة أيام.
coverage_write_crud_handlers.go	تعديل وحذف التغطية.
delivery_band_handlers.go	شرائح رسوم التوصيل بالمسافة.
invoice_handlers.go	قائمة الفواتير.
invoice_create_handlers.go	إنشاء فاتورة من المورد.
invoice_print_handlers.go	الفاتورة المطبوعة بالشكل المصري.
invoice_print_data.go	تجميع بيانات الفاتورة المطبوعة.
invoice_export_handlers.go	تصدير الفاتورة.
invoice_excel_gen.go	توليد الفاتورة Excel.
invoice_word_gen.go	توليد الفاتورة Word.
upload_file_handlers.go	قراءة رفع ملف استيراد بحدود للحجم والذاكرة.
upload_formats.go	امتدادات ملفات الجداول المقبولة.
upload_image_handlers.go	خادم ملفات الرفع وصور المنتجات.
import_progress_handlers.go	لقطة تقدم أي استيراد كـ JSON.
import_progress_stream.go	بث تقدم الاستيراد لحظيًا.
ai_usage_handlers.go	تجهيز هوية المنشأة في بوابة الذكاء الاصطناعي واستهلاكها.
assistant_actions.go	تنفيذ إجراءات كبسولة بكود لوحة التحكم نفسه.
assistant_actions_buying.go	إجراءات الشراء: إضافة للسلة والبحث عن العروض.
assistant_actions_vendor.go	إجراءات المورد زي تعديل المنتج.
assistant_actions_staff.go	إجراءات موظفي المنصة.
assistant_promotions.go	العروض الترويجية لفرع الشراء للمساعد.
org_decision_memory_handlers.go	ذاكرة القرارات للمنشأة.
platform_hardening_handlers.go	خطط عدد الأجهزة في الإدارة.
smart_order_handlers.go	رفع ملف الطلب الذكي بحد 64 ميجا.
smart_order_pages.go	صفحة التقدم في الطلب الذكي.
smart_order_actions.go	تعديل الكميات والموردين وإنهاء الطلب الذكي.
smart_order_review_builder.go	صفحة المراجعة مجمعة بالمورد.
smart_order_branch_gate.go	التحقق من فرع التوصيل قبل البدء.
smart_order_errors.go	رسائل أخطاء الطلب الذكي المفهومة.
smart_order_samples.go	تحميل نموذج Excel للطلب الذكي.
smart_order_stale.go	تقرير البنود اللي اتغيرت يظهر مرة واحدة.
saving_products_handlers.go	منتجات التوفير ومعاينتها.
saving_products_delegates.go	صفحة متابعة فروق الأسعار.
saving_products_actions.go	حذف منتجات التوفير بالجملة.
saving_products_columns.go	اكتشاف أعمدة ملف منتجات التوفير.
saving_products_matcher.go	طريقة ربط الصفوف بالكتالوج.
saving_products_match_choice.go	إعدادات المطابقة لكل تشغيل.
saving_products_ai.go	تحسين المطابقة بالذكاء الاصطناعي.
saving_products_ai_plan.go	الصفوف اللي تستحق سؤال الموديل.
saving_products_sessions.go	جلسات الاستيراد في الذاكرة.
saving_products_sessions_ops.go	تحديث تقدم الجلسة.
saving_products_import_handlers.go	صفحة استيراد منتجات التوفير.
saving_products_import_ajax_handlers.go	مسارات AJAX للاستيراد.
saving_products_import_direct_handlers.go	الاستيراد المباشر.
saving_products_import_delegates.go	تحميل نموذج Excel.
saving_products_import_items_handlers.go	تعديل صفوف المعاينة.
saving_products_import_run_ops.go	تشغيل الاستيراد في الخلفية.
saving_products_import_commit.go	حفظ الصفوف المعتمدة.
compare_handlers.go	صفحة خطط المقارنة.
compare_upload_handlers.go	رفع ملفات الموردين ونموذج تجريبي.
compare_upload_preview.go	معاينة عناوين الملف وصفوفه.
compare_upload_replace.go	الالتزام بعدد ملفات الخطة.
compare_staging_handlers.go	حالة معالجة الملفات.
compare_mapping_modal_handlers.go	نافذة ربط الأعمدة.
